id,10_연재확률,first_positive_10,second_rating_people_2,third_unreco_sum_5,label,positive_1,positive_2,positive_3,positive_4,positive_5,positive_6,positive_7,positive_8,positive_9,positive_10,rating_people_1,rating_people_2,rating_people_3,rating_people_4,rating_people_5,rating_people_6,rating_people_7,rating_people_8,rating_people_9,rating_people_10,unreco_sum_1,unreco_sum_2,unreco_sum_3,unreco_sum_4,unreco_sum_5,unreco_sum_6,unreco_sum_7,unreco_sum_8,unreco_sum_9,unreco_sum_10,댓글작성자수,독자,긍정1,긍정2,긍정3,부정1,부정2,부정3
635468,0.5239411006353969,32.0,2664.8999999999996,51,2,47.0,15.0,12.0,14.0,16.0,31.0,21.0,13.0,18.0,32.0,3125.94,2664.8999999999996,2442.7999999999997,2516.0299999999997,2523.7400000000002,2714.25,2687.94,3243.92,2499.6400000000003,2755.2,123,50,34,41,51,83,66,59,62,98,146,(zxdd****),슬라임,재미있네요,1화부터,뭐,있는데,일개
635736,0.5305929088521985,20.0,6435.24,33,2,45.0,17.0,17.0,16.0,12.0,18.0,52.0,12.0,24.0,20.0,7644.97,6435.24,6247.709999999999,6079.919999999999,6136.55,5755.9800000000005,5896.45,5524.2,5366.72,5336.96,39,16,13,21,33,41,93,15,17,20,127,(zxcv****),멍멍이,귀여워,왜,헤헷,마카롱,이게
636078,0.4806262202322303,9.0,1330.62,3,2,29.0,14.0,7.0,10.0,5.0,7.0,13.0,9.0,5.0,9.0,1501.7600000000002,1330.62,1259.52,1253.12,1172.1499999999999,1102.8799999999999,1172.49,1051.92,881.1,900.9,16,2,6,8,3,8,10,4,5,3,44,(yuri****),재밌어요,다음,다음화,작가님이,직접,댓글을
636278,0.5955974935858958,89.0,17169.600000000002,99,2,49.0,35.0,58.0,25.0,30.0,65.0,35.0,56.0,80.0,89.0,19591.44,17169.600000000002,16173.54,20788.940000000002,17110.800000000003,16841.3,16032.73,16340.48,16760.15,16081.880000000001,258,139,121,107,99,236,111,117,197,453,323,(zinz****),그림체,완전,와,넘어질때,그림,뭔가
636567,0.5123689721178152,18.0,17400.809999999998,19,2,71.0,55.0,27.0,34.0,38.0,16.0,31.0,32.0,22.0,18.0,19325.46,17400.809999999998,15125.24,18386.68,22099.3,18126.9,19820.0,19235.7,17839.8,18165.03,55,20,14,17,19,9,11,3,27,23,234,(zxcv****),정주행,좋다,왜,닭다리를,그럼,너무나
636736,0.6039329344106452,65.0,15568.61,920,2,86.0,98.0,34.0,62.0,370.0,62.0,112.0,118.0,82.0,65.0,18988.800000000003,15568.61,14830.2,16318.4,22753.5,14838.02,51148.76,29815.2,21131.67,21036.2,260,248,165,145,920,298,725,555,312,298,532,(zzan****),와,독수리,다시,봤는데,뭔가,서쪽
636777,0.4722985452572619,21.0,8233.1,29,2,37.0,19.0,19.0,32.0,25.0,41.0,39.0,43.0,36.0,21.0,10424.060000000001,8233.1,7818.98,7992.920000000001,7538.4400000000005,7854.6,7214.969999999999,7866.389999999999,5748.38,4787.21,46,63,148,38,29,22,83,64,16,28,171,(yuio****),귀여워,마나,다서,왜,다서가,등장인물이
636783,0.410780523933085,3.0,1370.34,1,2,9.0,10.0,5.0,3.0,8.0,6.0,6.0,5.0,7.0,3.0,1282.4899999999998,1370.34,1425.35,1299.52,1182.0,1371.9299999999998,1232.5,1042.18,1148.94,951.57,14,2,10,3,1,6,7,12,1,3,52,(yym1****),와,끝까지,재밌어요,맞춤법,오타도,많고
637249,0.5854231618973682,14.0,2383.7,21,2,51.0,18.0,19.0,11.0,19.0,11.0,6.0,10.0,13.0,14.0,2690.6800000000003,2383.7,2383.2,1791.9,1934.59,1691.19,1710.97,1533.48,1812.3999999999999,1681.3000000000002,7,29,28,6,21,11,12,14,8,20,122,(yyk4****),별땅이,그냥,오랜만에,참,싶은,처음으로
637306,0.5748465931626012,21.0,1541.2800000000002,4,2,21.0,10.0,15.0,18.0,19.0,11.0,11.0,9.0,20.0,21.0,1964.0,1541.2800000000002,1623.6,1545.24,1608.75,1564.8,1383.21,1334.46,1737.28,1233.54,17,0,2,11,4,6,2,1,11,34,89,(zlgi****),왜,스토리도,좋고,강자한테,약하고,약자한테
