id,label,5_연재확률,10_연재확률,first_positive_5,second_view_1,third_rating_people_5,positive_1,positive_2,positive_3,positive_4,positive_5,view_1,view_2,view_3,view_4,view_5,rating_people_1,rating_people_2,rating_people_3,rating_people_4,rating_people_5,댓글작성자수,독자,긍정1,긍정2,긍정3,부정1,부정2,부정3,genre,title
687731,2,0.4912790337453234,0.4929529118635966,28.0,374710,19088.16,57.0,47.0,38.0,27.0,28.0,374710,339362,312336,306037,306677,20315.5,19296.29,18721.77,18802.35,19088.16,417,(zxcs****),그림체,왜,귀여워,뭐야,알았는데,어,episode,드래곤메이커
687771,2,0.6928043171847735,0.5338417813214098,47.0,235372,5931.87,93.0,54.0,60.0,53.0,47.0,235372,155843,113363,91471,80963,9070.74,8892.62,6412.45,5660.37,5931.87,416,(z971****),사랑해요,그림체,기다렸어요,내,뭔가,웹툰,story,빨간 고백
687894,2,0.7065094080042728,,24.0,60279,1396.35,8.0,6.0,9.0,9.0,24.0,60279,49453,44884,44414,46850,1009.34,1009.8,1058.4,1026.0,1396.35,75,(zhon****),재밌어요,화이팅,고고,또,제목,드러머인줄알았는데,story,드리머
687910,2,0.4882488537518346,,21.0,41141,2383.49,24.0,11.0,14.0,19.0,21.0,41141,31595,29868,33083,34565,3081.42,2631.7200000000003,2496.0,3285.94,2383.49,159,(zhxm****),여주,소담이,재밌어요,저렇게,거,애들,story,애니멀 다이어리
688197,2,0.6107945820116811,0.5693321185129327,31.0,117528,2707.56,22.0,20.0,9.0,13.0,31.0,117528,98773,96570,95674,95836,3535.56,2973.12,2684.0,2482.2,2707.56,131,(zxcv****),화이팅,재밌네요,기대됩니다,극혐,뒤,이미,story,RUN
688210,2,0.6128842920146611,,19.0,132617,2376.26,49.0,48.0,26.0,21.0,19.0,132617,108656,66741,57697,57477,6082.35,4855.9,3250.42,2513.92,2376.26,274,(zzzp****),와,재밌어요,이건,뭔가,왜,음,story,티안
688336,2,0.6521681525626464,0.5198289675717725,16.0,188543,9662.4,40.0,14.0,24.0,21.0,16.0,188543,139770,128788,120974,105974,18052.74,13064.64,13600.32,11993.28,9662.4,155,(zxc_****),다른,와,그림이,감정이,이야기,임총작가,omnibus,숲
688564,2,0.6739626196479297,0.5794562292170885,320.0,674482,32679.57,86.0,75.0,89.0,54.0,320.0,674482,669227,615204,595128,652876,28051.7,27381.22,26352.9,24043.85,32679.57,762,(zzz3****),그림체,와,슬이,뭔가,슬이,차도희,story,"잘가, 좋은 아침이야"
688675,2,0.4882602020910895,0.4611215945981838,11.0,118168,1796.35,21.0,8.0,4.0,9.0,11.0,118168,91565,80349,71802,68500,3136.28,2430.4,2205.76,2024.46,1796.35,85,(zinn****),죄송합니다,재밌네요,좋겠어요,금요툰에,제목이,클릭금지라서나만,story,클릭금지
689039,2,0.6635669862389983,,19.0,92847,1532.32,64.0,82.0,25.0,22.0,19.0,92847,122013,39810,35123,23846,3403.44,4458.28,2095.92,2074.13,1532.32,251,(zipo****),축하드려요,베도,앞으로도,기다리다,작가님은,조심하세요,story,지켜라!여의주!
